Verification ID,Location,Safeguard,Criticality,Passed,Verified By,Date,Failed
V0000,Rig B,Emergency Shutdown,Low,False,aud_0,2023-12-07,True
V0001,Rig A,Fire Detection,Medium,True,aud_1,2023-02-03,False
V0002,Rig B,Fire Detection,High,True,aud_2,2023-10-22,False
V0003,Terminal X,Relief Valve,Medium,False,aud_3,2023-08-07,True
V0004,Terminal X,Blowout Preventer,Medium,False,aud_4,2022-04-09,True
V0005,Rig B,Blowout Preventer,High,False,aud_5,2022-09-14,True
V0006,Rig A,Fire Detection,Low,True,aud_6,2022-07-11,False
V0007,Platform C,Emergency Shutdown,Medium,True,aud_7,2023-11-28,False
V0008,Terminal X,Emergency Shutdown,Medium,True,aud_8,2023-02-21,False
V0009,Terminal X,Emergency Shutdown,High,False,aud_9,2023-10-02,True
V0010,Platform C,Blowout Preventer,High,True,aud_10,2023-08-07,False
V0011,Rig B,Relief Valve,High,False,aud_11,2023-12-20,True
V0012,Rig A,Fire Detection,High,False,aud_12,2022-09-29,True
V0013,Rig B,Gas Detection,High,True,aud_13,2023-01-10,False
V0014,Plant Y,Relief Valve,Critical,False,aud_14,2022-10-16,True
V0015,Terminal X,Gas Detection,High,True,aud_15,2023-10-22,False
V0016,Plant Y,Relief Valve,Low,False,aud_16,2022-06-08,True
V0017,Terminal X,Emergency Shutdown,Medium,False,aud_17,2022-08-18,True
V0018,Terminal X,Blowout Preventer,Low,True,aud_18,2023-12-17,False
V0019,Plant Y,Gas Detection,Low,False,aud_19,2022-09-24,True
V0020,Plant Y,Relief Valve,Critical,False,aud_20,2023-05-23,True
V0021,Rig B,Blowout Preventer,High,False,aud_21,2022-06-08,True
V0022,Plant Y,Gas Detection,Medium,False,aud_22,2024-02-17,True
V0023,Rig B,Fire Detection,Low,False,aud_23,2022-06-10,True
V0024,Rig B,Relief Valve,High,False,aud_24,2022-10-07,True
V0025,Rig B,Fire Detection,High,False,aud_25,2022-01-21,True
V0026,Terminal X,Emergency Shutdown,Critical,False,aud_26,2023-06-12,True
V0027,Terminal X,Fire Detection,Critical,True,aud_27,2022-06-14,False
V0028,Plant Y,Fire Detection,Critical,True,aud_28,2022-01-15,False
V0029,Terminal X,Relief Valve,Medium,False,aud_29,2022-03-12,True
V0030,Plant Y,Emergency Shutdown,Low,False,aud_30,2023-12-27,True
V0031,Terminal X,Fire Detection,Critical,True,aud_31,2022-04-10,False
V0032,Rig A,Blowout Preventer,Critical,False,aud_32,2023-07-17,True
V0033,Rig A,Gas Detection,Critical,True,aud_33,2022-03-14,False
V0034,Plant Y,Fire Detection,Low,True,aud_34,2023-11-29,False
V0035,Terminal X,Emergency Shutdown,Low,True,aud_35,2023-08-22,False
V0036,Terminal X,Fire Detection,Critical,False,aud_36,2023-08-10,True
V0037,Rig B,Gas Detection,Critical,False,aud_37,2022-06-20,True
V0038,Platform C,Emergency Shutdown,High,False,aud_38,2023-06-03,True
V0039,Plant Y,Relief Valve,Critical,True,aud_39,2022-11-03,False
V0040,Platform C,Emergency Shutdown,Medium,True,aud_40,2023-12-21,False
V0041,Platform C,Relief Valve,Medium,True,aud_41,2022-11-07,False
V0042,Plant Y,Emergency Shutdown,Critical,False,aud_42,2022-08-16,True
V0043,Terminal X,Gas Detection,Low,True,aud_43,2023-02-26,False
V0044,Plant Y,Gas Detection,High,True,aud_44,2023-06-11,False
V0045,Platform C,Emergency Shutdown,Low,False,aud_45,2023-07-10,True
V0046,Terminal X,Fire Detection,Critical,True,aud_46,2023-11-25,False
V0047,Rig A,Gas Detection,Medium,True,aud_47,2023-10-14,False
V0048,Plant Y,Relief Valve,High,False,aud_48,2023-08-12,True
V0049,Plant Y,Relief Valve,Low,False,aud_49,2023-07-16,True
V0050,Terminal X,Blowout Preventer,Low,True,aud_50,2022-11-13,False
V0051,Rig A,Relief Valve,Critical,False,aud_51,2022-12-01,True
V0052,Rig A,Blowout Preventer,High,True,aud_52,2022-09-01,False
V0053,Terminal X,Emergency Shutdown,Medium,False,aud_53,2022-06-07,True
V0054,Rig B,Emergency Shutdown,Critical,True,aud_54,2023-09-07,False
V0055,Plant Y,Emergency Shutdown,High,False,aud_55,2023-05-11,True
V0056,Plant Y,Fire Detection,Low,True,aud_56,2023-12-23,False
V0057,Platform C,Fire Detection,Critical,False,aud_57,2022-02-13,True
V0058,Terminal X,Blowout Preventer,Low,False,aud_58,2022-05-21,True
V0059,Platform C,Relief Valve,Low,False,aud_59,2022-06-14,True
V0060,Platform C,Relief Valve,Critical,False,aud_60,2023-08-14,True
V0061,Rig A,Emergency Shutdown,Critical,False,aud_61,2022-05-11,True
V0062,Plant Y,Gas Detection,Critical,False,aud_62,2023-01-14,True
V0063,Platform C,Fire Detection,Critical,False,aud_63,2023-04-24,True
V0064,Rig A,Fire Detection,Critical,True,aud_64,2023-11-29,False
V0065,Terminal X,Emergency Shutdown,Low,True,aud_65,2023-09-14,False
V0066,Platform C,Fire Detection,Medium,False,aud_66,2023-07-01,True
V0067,Plant Y,Emergency Shutdown,Medium,False,aud_67,2022-10-15,True
V0068,Platform C,Blowout Preventer,Critical,True,aud_68,2023-09-17,False
V0069,Terminal X,Relief Valve,Low,True,aud_69,2022-04-11,False
V0070,Platform C,Gas Detection,Medium,False,aud_70,2023-03-23,True
V0071,Plant Y,Relief Valve,Medium,True,aud_71,2022-11-13,False
V0072,Rig A,Relief Valve,Medium,True,aud_72,2023-02-01,False
V0073,Plant Y,Blowout Preventer,Low,False,aud_73,2022-05-13,True
V0074,Rig A,Fire Detection,Critical,False,aud_74,2022-05-30,True
V0075,Rig B,Gas Detection,Critical,False,aud_75,2022-07-10,True
V0076,Plant Y,Fire Detection,Critical,True,aud_76,2023-09-21,False
V0077,Plant Y,Relief Valve,High,False,aud_77,2022-06-25,True
V0078,Terminal X,Emergency Shutdown,High,False,aud_78,2024-01-16,True
V0079,Platform C,Relief Valve,High,True,aud_79,2022-01-03,False
V0080,Rig A,Fire Detection,Low,False,aud_80,2023-07-08,True
V0081,Rig A,Relief Valve,Medium,True,aud_81,2023-08-08,False
V0082,Terminal X,Emergency Shutdown,Medium,True,aud_82,2022-11-19,False
V0083,Terminal X,Blowout Preventer,Low,True,aud_83,2022-01-02,False
V0084,Platform C,Fire Detection,Low,True,aud_84,2023-01-05,False
V0085,Platform C,Relief Valve,Critical,True,aud_85,2023-01-14,False
V0086,Plant Y,Fire Detection,Critical,True,aud_86,2022-04-09,False
V0087,Rig B,Blowout Preventer,High,False,aud_87,2022-07-18,True
V0088,Platform C,Relief Valve,High,False,aud_88,2022-05-20,True
V0089,Terminal X,Relief Valve,Low,False,aud_89,2022-04-30,True
V0090,Platform C,Fire Detection,High,True,aud_90,2023-05-01,False
V0091,Rig A,Fire Detection,Medium,False,aud_91,2024-02-29,True
V0092,Rig B,Emergency Shutdown,Low,True,aud_92,2023-11-10,False
V0093,Plant Y,Blowout Preventer,Low,False,aud_93,2022-03-01,True
V0094,Rig A,Emergency Shutdown,Medium,True,aud_94,2022-12-03,False
V0095,Rig A,Relief Valve,Critical,False,aud_95,2023-02-19,True
V0096,Rig B,Fire Detection,Critical,True,aud_96,2023-05-04,False
V0097,Plant Y,Relief Valve,Medium,False,aud_97,2023-09-27,True
V0098,Terminal X,Relief Valve,Medium,True,aud_98,2024-02-29,False
V0099,Plant Y,Gas Detection,High,False,aud_99,2023-11-09,True
V0100,Platform C,Gas Detection,Low,True,aud_100,2022-12-01,False
V0101,Rig A,Relief Valve,High,False,aud_101,2023-10-28,True
V0102,Platform C,Fire Detection,Medium,False,aud_102,2023-08-23,True
V0103,Terminal X,Relief Valve,High,False,aud_103,2023-11-03,True
V0104,Platform C,Gas Detection,Medium,True,aud_104,2023-02-27,False
V0105,Plant Y,Fire Detection,High,True,aud_105,2022-05-08,False
V0106,Platform C,Relief Valve,High,True,aud_106,2022-06-02,False
V0107,Terminal X,Blowout Preventer,Critical,True,aud_107,2023-03-18,False
V0108,Terminal X,Blowout Preventer,Medium,True,aud_108,2022-01-25,False
V0109,Terminal X,Relief Valve,High,False,aud_109,2023-11-04,True
V0110,Plant Y,Fire Detection,Low,True,aud_110,2022-05-16,False
V0111,Terminal X,Relief Valve,High,False,aud_111,2022-07-17,True
V0112,Rig A,Relief Valve,High,False,aud_112,2023-02-21,True
V0113,Terminal X,Gas Detection,Low,True,aud_113,2023-02-01,False
V0114,Platform C,Blowout Preventer,Medium,False,aud_114,2024-02-11,True
V0115,Platform C,Gas Detection,Critical,True,aud_115,2022-05-06,False
V0116,Platform C,Gas Detection,Critical,True,aud_116,2023-01-28,False
V0117,Plant Y,Relief Valve,Critical,True,aud_117,2023-11-25,False
V0118,Platform C,Gas Detection,Low,False,aud_118,2022-09-08,True
V0119,Plant Y,Blowout Preventer,High,True,aud_119,2023-05-13,False
V0120,Plant Y,Gas Detection,Medium,True,aud_120,2022-02-19,False
V0121,Terminal X,Blowout Preventer,High,True,aud_121,2023-10-20,False
V0122,Rig A,Gas Detection,Critical,False,aud_122,2022-05-22,True
V0123,Terminal X,Blowout Preventer,High,True,aud_123,2023-03-22,False
V0124,Terminal X,Gas Detection,Low,False,aud_124,2022-08-30,True
V0125,Plant Y,Gas Detection,Low,False,aud_125,2022-05-17,True
V0126,Plant Y,Fire Detection,Medium,True,aud_126,2023-10-05,False
V0127,Platform C,Blowout Preventer,Medium,False,aud_127,2023-11-11,True
V0128,Platform C,Blowout Preventer,Critical,False,aud_128,2023-12-26,True
V0129,Terminal X,Blowout Preventer,Medium,True,aud_129,2023-01-04,False
V0130,Rig B,Emergency Shutdown,High,True,aud_130,2023-12-20,False
V0131,Rig B,Gas Detection,Low,True,aud_131,2023-04-13,False
V0132,Platform C,Blowout Preventer,Low,False,aud_132,2022-02-04,True
V0133,Rig B,Emergency Shutdown,Low,True,aud_133,2022-10-01,False
V0134,Platform C,Fire Detection,Medium,False,aud_134,2022-03-14,True
V0135,Plant Y,Blowout Preventer,Low,False,aud_135,2023-06-25,True
V0136,Terminal X,Blowout Preventer,Low,False,aud_136,2024-01-09,True
V0137,Rig A,Emergency Shutdown,Low,False,aud_137,2022-04-04,True
V0138,Terminal X,Gas Detection,Critical,False,aud_138,2022-09-23,True
V0139,Platform C,Fire Detection,Critical,True,aud_139,2023-11-27,False
V0140,Platform C,Blowout Preventer,Medium,True,aud_140,2022-03-16,False
V0141,Terminal X,Gas Detection,Low,False,aud_141,2022-06-17,True
V0142,Platform C,Fire Detection,Medium,False,aud_142,2023-03-08,True
V0143,Rig B,Relief Valve,Low,True,aud_143,2023-04-07,False
V0144,Rig B,Relief Valve,Low,True,aud_144,2023-01-27,False
V0145,Platform C,Fire Detection,Low,False,aud_145,2023-03-01,True
V0146,Platform C,Emergency Shutdown,Medium,False,aud_146,2022-06-07,True
V0147,Rig B,Fire Detection,Medium,True,aud_147,2023-07-26,False
V0148,Platform C,Fire Detection,Low,True,aud_148,2022-11-14,False
V0149,Platform C,Emergency Shutdown,High,False,aud_149,2023-11-11,True
V0150,Terminal X,Emergency Shutdown,Medium,True,aud_150,2023-12-19,False
V0151,Rig A,Gas Detection,Critical,True,aud_151,2022-04-13,False
V0152,Rig B,Gas Detection,Medium,False,aud_152,2023-12-05,True
V0153,Terminal X,Emergency Shutdown,Low,False,aud_153,2022-07-22,True
V0154,Rig A,Relief Valve,High,False,aud_154,2022-05-14,True
V0155,Platform C,Relief Valve,Low,True,aud_155,2022-06-02,False
V0156,Platform C,Fire Detection,Critical,False,aud_156,2023-08-10,True
V0157,Terminal X,Blowout Preventer,Medium,True,aud_157,2024-01-27,False
V0158,Platform C,Fire Detection,Medium,False,aud_158,2024-02-29,True
V0159,Plant Y,Fire Detection,Low,False,aud_159,2023-08-03,True
V0160,Terminal X,Blowout Preventer,Low,True,aud_160,2024-01-03,False
V0161,Rig A,Emergency Shutdown,Critical,True,aud_161,2022-07-02,False
V0162,Terminal X,Relief Valve,High,False,aud_162,2022-06-15,True
V0163,Rig B,Fire Detection,Critical,False,aud_163,2022-08-22,True
V0164,Terminal X,Blowout Preventer,High,True,aud_164,2022-02-22,False
V0165,Platform C,Gas Detection,Medium,False,aud_165,2024-02-12,True
V0166,Platform C,Fire Detection,High,True,aud_166,2023-08-09,False
V0167,Plant Y,Relief Valve,High,True,aud_167,2024-02-12,False
V0168,Plant Y,Emergency Shutdown,Medium,False,aud_168,2022-03-27,True
V0169,Plant Y,Fire Detection,Medium,True,aud_169,2022-06-13,False
V0170,Rig A,Fire Detection,Medium,True,aud_170,2024-01-04,False
V0171,Plant Y,Blowout Preventer,Critical,True,aud_171,2022-10-02,False
V0172,Rig A,Gas Detection,Medium,False,aud_172,2022-09-06,True
V0173,Plant Y,Gas Detection,Low,True,aud_173,2023-12-01,False
V0174,Rig A,Emergency Shutdown,Medium,False,aud_174,2023-01-03,True
V0175,Terminal X,Relief Valve,Medium,False,aud_175,2023-06-25,True
V0176,Terminal X,Emergency Shutdown,Medium,False,aud_176,2023-06-18,True
V0177,Platform C,Fire Detection,High,True,aud_177,2022-06-30,False
V0178,Rig A,Fire Detection,Critical,True,aud_178,2022-04-01,False
V0179,Rig B,Gas Detection,Medium,False,aud_179,2024-01-16,True
V0180,Platform C,Relief Valve,Critical,False,aud_180,2022-03-18,True
V0181,Terminal X,Blowout Preventer,Low,True,aud_181,2023-07-14,False
V0182,Rig A,Relief Valve,Low,False,aud_182,2023-10-27,True
V0183,Plant Y,Fire Detection,Medium,False,aud_183,2022-01-31,True
V0184,Rig B,Blowout Preventer,Low,True,aud_184,2024-01-29,False
V0185,Terminal X,Relief Valve,Critical,False,aud_185,2022-08-29,True
V0186,Platform C,Relief Valve,High,True,aud_186,2023-05-03,False
V0187,Rig A,Blowout Preventer,Medium,True,aud_187,2023-07-23,False
V0188,Rig B,Fire Detection,Low,False,aud_188,2022-02-23,True
V0189,Rig A,Relief Valve,Critical,True,aud_189,2022-06-26,False
V0190,Plant Y,Blowout Preventer,Critical,True,aud_190,2022-01-16,False
V0191,Platform C,Fire Detection,Low,True,aud_191,2023-11-09,False
V0192,Rig A,Blowout Preventer,Critical,False,aud_192,2024-02-25,True
V0193,Terminal X,Blowout Preventer,Critical,False,aud_193,2022-12-08,True
V0194,Platform C,Relief Valve,Medium,False,aud_194,2023-08-20,True
V0195,Terminal X,Fire Detection,Critical,True,aud_195,2022-01-29,False
V0196,Rig A,Relief Valve,Low,True,aud_196,2023-06-18,False
V0197,Platform C,Emergency Shutdown,Medium,False,aud_197,2022-03-05,True
V0198,Terminal X,Emergency Shutdown,Low,False,aud_198,2022-11-30,True
V0199,Plant Y,Fire Detection,High,True,aud_199,2022-04-07,False
V0200,Plant Y,Blowout Preventer,Low,False,aud_200,2022-07-01,True
V0201,Rig A,Relief Valve,Low,False,aud_201,2022-06-02,True
V0202,Platform C,Relief Valve,Medium,False,aud_202,2023-01-27,True
V0203,Rig B,Fire Detection,Critical,False,aud_203,2022-03-16,True
V0204,Platform C,Fire Detection,Low,False,aud_204,2023-05-26,True
V0205,Plant Y,Emergency Shutdown,Medium,True,aud_205,2022-01-11,False
V0206,Terminal X,Gas Detection,High,False,aud_206,2023-08-19,True
V0207,Rig B,Fire Detection,Medium,False,aud_207,2022-09-13,True
V0208,Rig A,Gas Detection,Medium,True,aud_208,2022-12-12,False
V0209,Rig B,Fire Detection,Critical,True,aud_209,2023-07-03,False
V0210,Rig A,Blowout Preventer,Low,True,aud_210,2023-03-09,False
V0211,Rig B,Blowout Preventer,High,True,aud_211,2023-04-17,False
V0212,Rig A,Emergency Shutdown,Medium,False,aud_212,2023-11-07,True
V0213,Rig A,Emergency Shutdown,Low,False,aud_213,2024-01-09,True
V0214,Rig B,Gas Detection,Low,False,aud_214,2022-09-19,True
V0215,Rig B,Fire Detection,Medium,False,aud_215,2023-04-01,True
V0216,Rig A,Relief Valve,Low,True,aud_216,2024-01-23,False
V0217,Plant Y,Emergency Shutdown,Medium,True,aud_217,2022-09-07,False
V0218,Rig B,Relief Valve,Medium,False,aud_218,2023-10-24,True
V0219,Platform C,Relief Valve,Medium,False,aud_219,2023-12-27,True
V0220,Terminal X,Fire Detection,High,False,aud_220,2023-02-19,True
V0221,Rig A,Gas Detection,Medium,False,aud_221,2022-06-27,True
V0222,Rig A,Fire Detection,Critical,True,aud_222,2022-04-08,False
V0223,Terminal X,Emergency Shutdown,Low,False,aud_223,2023-09-04,True
V0224,Plant Y,Relief Valve,High,True,aud_224,2022-01-02,False
V0225,Terminal X,Fire Detection,Low,True,aud_225,2023-02-27,False
V0226,Rig B,Fire Detection,High,True,aud_226,2022-12-03,False
V0227,Terminal X,Fire Detection,Critical,True,aud_227,2022-12-25,False
V0228,Rig A,Emergency Shutdown,High,False,aud_228,2023-11-25,True
V0229,Terminal X,Gas Detection,High,False,aud_229,2022-09-20,True
V0230,Platform C,Fire Detection,High,False,aud_230,2023-02-26,True
V0231,Rig B,Emergency Shutdown,Low,False,aud_231,2022-11-26,True
V0232,Terminal X,Relief Valve,Medium,True,aud_232,2023-05-25,False
V0233,Rig A,Blowout Preventer,Low,True,aud_233,2023-10-06,False
V0234,Rig B,Emergency Shutdown,Medium,True,aud_234,2023-12-04,False
V0235,Rig A,Blowout Preventer,Low,False,aud_235,2023-04-26,True
V0236,Plant Y,Fire Detection,Critical,True,aud_236,2022-10-02,False
V0237,Platform C,Fire Detection,Critical,True,aud_237,2023-09-30,False
V0238,Plant Y,Emergency Shutdown,High,True,aud_238,2023-05-19,False
V0239,Platform C,Blowout Preventer,Critical,True,aud_239,2023-01-22,False
V0240,Terminal X,Fire Detection,High,False,aud_240,2023-11-29,True
V0241,Rig B,Relief Valve,Medium,True,aud_241,2022-09-10,False
V0242,Terminal X,Gas Detection,Critical,True,aud_242,2023-04-03,False
V0243,Platform C,Gas Detection,Medium,False,aud_243,2022-10-30,True
V0244,Platform C,Fire Detection,Low,False,aud_244,2022-07-25,True
V0245,Platform C,Blowout Preventer,Medium,False,aud_245,2022-11-30,True
V0246,Rig A,Fire Detection,Low,True,aud_246,2022-06-25,False
V0247,Rig B,Blowout Preventer,Medium,True,aud_247,2022-11-16,False
V0248,Terminal X,Relief Valve,Medium,True,aud_248,2023-06-26,False
V0249,Terminal X,Blowout Preventer,Critical,True,aud_249,2023-04-22,False
V0250,Plant Y,Fire Detection,Medium,False,aud_250,2022-09-05,True
V0251,Platform C,Relief Valve,Critical,True,aud_251,2022-12-28,False
V0252,Platform C,Emergency Shutdown,Critical,True,aud_252,2023-10-06,False
V0253,Platform C,Gas Detection,High,False,aud_253,2023-05-13,True
V0254,Terminal X,Fire Detection,High,False,aud_254,2023-07-29,True
V0255,Plant Y,Fire Detection,Low,False,aud_255,2023-01-04,True
V0256,Rig A,Fire Detection,Medium,True,aud_256,2024-02-27,False
V0257,Rig B,Relief Valve,Low,True,aud_257,2024-01-09,False
V0258,Rig A,Emergency Shutdown,Medium,True,aud_258,2022-12-01,False
V0259,Terminal X,Blowout Preventer,High,True,aud_259,2022-04-15,False
V0260,Platform C,Emergency Shutdown,High,True,aud_260,2022-11-03,False
V0261,Rig B,Relief Valve,Medium,False,aud_261,2022-10-18,True
V0262,Terminal X,Fire Detection,Medium,False,aud_262,2022-06-30,True
V0263,Terminal X,Gas Detection,High,True,aud_263,2023-08-17,False
V0264,Terminal X,Fire Detection,High,True,aud_264,2023-02-11,False
V0265,Rig B,Blowout Preventer,Low,True,aud_265,2022-10-04,False
V0266,Rig B,Gas Detection,High,True,aud_266,2022-05-08,False
V0267,Plant Y,Fire Detection,Medium,True,aud_267,2022-11-25,False
V0268,Plant Y,Gas Detection,Low,False,aud_268,2022-03-31,True
V0269,Rig A,Emergency Shutdown,Medium,False,aud_269,2022-04-04,True
V0270,Rig B,Relief Valve,Critical,False,aud_270,2023-07-31,True
V0271,Rig B,Fire Detection,Low,True,aud_271,2024-01-28,False
V0272,Rig B,Blowout Preventer,Medium,True,aud_272,2024-01-08,False
V0273,Plant Y,Emergency Shutdown,High,False,aud_273,2024-02-06,True
V0274,Terminal X,Fire Detection,Critical,False,aud_274,2022-08-20,True
V0275,Platform C,Emergency Shutdown,Medium,True,aud_275,2023-01-22,False
V0276,Plant Y,Blowout Preventer,Low,False,aud_276,2023-05-06,True
V0277,Rig B,Fire Detection,Medium,False,aud_277,2022-10-14,True
V0278,Plant Y,Blowout Preventer,Critical,True,aud_278,2022-06-21,False
V0279,Rig A,Gas Detection,Low,False,aud_279,2023-02-08,True
V0280,Rig B,Blowout Preventer,Critical,False,aud_280,2023-11-02,True
V0281,Rig A,Gas Detection,Medium,False,aud_281,2022-03-12,True
V0282,Rig B,Fire Detection,High,True,aud_282,2023-11-25,False
V0283,Plant Y,Gas Detection,High,False,aud_283,2023-11-03,True
V0284,Terminal X,Fire Detection,Medium,False,aud_284,2023-01-25,True
V0285,Platform C,Fire Detection,Medium,False,aud_285,2022-07-22,True
V0286,Rig A,Relief Valve,Medium,True,aud_286,2023-06-01,False
V0287,Plant Y,Fire Detection,Low,True,aud_287,2023-03-12,False
V0288,Terminal X,Gas Detection,Critical,False,aud_288,2024-01-28,True
V0289,Plant Y,Relief Valve,Critical,True,aud_289,2023-06-24,False
V0290,Rig A,Relief Valve,Critical,False,aud_290,2023-01-12,True
V0291,Platform C,Fire Detection,Medium,True,aud_291,2024-01-07,False
V0292,Plant Y,Blowout Preventer,Critical,True,aud_292,2023-08-04,False
V0293,Rig B,Blowout Preventer,Medium,False,aud_293,2022-01-05,True
V0294,Terminal X,Relief Valve,Low,False,aud_294,2023-09-19,True
V0295,Plant Y,Fire Detection,High,False,aud_295,2022-12-21,True
V0296,Terminal X,Blowout Preventer,Medium,True,aud_296,2024-01-26,False
V0297,Rig B,Fire Detection,Medium,False,aud_297,2023-07-10,True
V0298,Platform C,Fire Detection,High,True,aud_298,2023-06-07,False
V0299,Platform C,Relief Valve,High,True,aud_299,2022-09-06,False
V0300,Rig B,Relief Valve,Low,False,aud_300,2022-03-17,True
V0301,Terminal X,Emergency Shutdown,Critical,True,aud_301,2024-01-18,False
V0302,Plant Y,Blowout Preventer,Medium,False,aud_302,2022-11-22,True
V0303,Rig B,Blowout Preventer,Critical,True,aud_303,2023-07-20,False
V0304,Rig A,Blowout Preventer,Medium,False,aud_304,2023-12-05,True
V0305,Terminal X,Gas Detection,Low,True,aud_305,2023-07-21,False
V0306,Platform C,Fire Detection,High,True,aud_306,2022-03-07,False
V0307,Rig B,Relief Valve,Low,False,aud_307,2023-11-09,True
V0308,Platform C,Blowout Preventer,High,True,aud_308,2023-12-11,False
V0309,Terminal X,Emergency Shutdown,Critical,False,aud_309,2022-08-18,True
V0310,Platform C,Blowout Preventer,Critical,True,aud_310,2022-02-14,False
V0311,Rig B,Fire Detection,Low,True,aud_311,2024-02-19,False
V0312,Terminal X,Fire Detection,High,True,aud_312,2022-09-10,False
V0313,Rig A,Relief Valve,Low,False,aud_313,2022-08-05,True
V0314,Rig B,Gas Detection,High,False,aud_314,2022-09-27,True
V0315,Plant Y,Relief Valve,High,False,aud_315,2022-09-11,True
V0316,Rig B,Blowout Preventer,Critical,False,aud_316,2023-03-17,True
V0317,Terminal X,Emergency Shutdown,Critical,False,aud_317,2024-02-26,True
V0318,Rig B,Relief Valve,High,True,aud_318,2023-02-08,False
V0319,Rig A,Gas Detection,High,True,aud_319,2022-03-07,False
V0320,Rig A,Relief Valve,High,False,aud_320,2023-04-22,True
V0321,Plant Y,Fire Detection,Critical,True,aud_321,2022-10-26,False
V0322,Platform C,Blowout Preventer,Critical,True,aud_322,2023-07-25,False
V0323,Terminal X,Blowout Preventer,Medium,True,aud_323,2022-01-25,False
V0324,Terminal X,Blowout Preventer,High,True,aud_324,2023-02-11,False
V0325,Platform C,Blowout Preventer,Medium,False,aud_325,2022-09-14,True
V0326,Rig A,Blowout Preventer,High,True,aud_326,2022-03-18,False
V0327,Rig A,Blowout Preventer,Critical,False,aud_327,2023-09-28,True
V0328,Rig B,Emergency Shutdown,Medium,False,aud_328,2023-01-20,True
V0329,Plant Y,Gas Detection,Medium,True,aud_329,2022-10-04,False
V0330,Plant Y,Blowout Preventer,Low,False,aud_330,2023-06-27,True
V0331,Plant Y,Gas Detection,High,True,aud_331,2023-04-20,False
